"id","start","end","room","subject","home"
"10452806","2021-02-23 01:02:53.21+00","2021-02-23 01:05:32.932+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452807","2021-02-23 01:05:32.932+00","2021-02-23 09:33:26.239+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452808","2021-02-23 09:33:26.239+00","2021-02-23 09:39:19.701+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452809","2021-02-23 09:39:19.701+00","2021-02-23 11:35:54.664+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452810","2021-02-23 11:35:54.664+00","2021-02-23 11:41:13.892+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452811","2021-02-23 11:54:07.883+00","2021-02-23 13:03:49.628+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452812","2021-02-23 13:09:02.908+00","2021-02-23 14:30:51.256+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452813","2021-02-23 14:51:58.858+00","2021-02-23 15:28:28.261+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452814","2021-02-23 16:03:13.677+00","2021-02-23 16:33:14.293+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452815","2021-02-23 16:33:14.293+00","2021-02-23 16:48:32.614+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452816","2021-02-23 17:28:07.459+00","2021-02-23 17:40:28.414+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452817","2021-02-23 17:44:35.965+00","2021-02-23 18:39:35.773+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452818","2021-02-23 18:39:59.118+00","2021-02-23 18:44:02.22+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452819","2021-02-23 18:55:55.155+00","2021-02-23 19:53:13.291+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452820","2021-02-23 19:53:30.734+00","2021-02-23 21:13:27.313+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452821","2021-02-23 21:44:20.628+00","2021-02-23 22:12:46.261+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452822","2021-02-23 22:25:35.676+00","2021-02-24 00:22:18.708+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452823","2021-02-24 00:24:36.254+00","2021-02-24 01:13:49.056+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452824","2021-02-24 01:15:41.358+00","2021-02-24 01:19:27.325+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452825","2021-02-24 01:42:06.678+00","2021-02-24 11:16:26.226+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452826","2021-02-24 11:22:49.897+00","2021-02-24 14:22:14.907+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452827","2021-02-24 14:34:01.711+00","2021-02-24 14:57:38.549+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452828","2021-02-24 15:05:57.565+00","2021-02-24 19:04:27.524+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452829","2021-02-24 19:05:09.126+00","2021-02-24 19:10:57.991+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452830","2021-02-24 19:12:57.28+00","2021-02-24 19:54:44.718+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452831","2021-02-24 19:54:44.718+00","2021-02-24 21:19:02.238+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452832","2021-02-24 21:34:33.966+00","2021-02-24 23:25:15.91+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452833","2021-02-24 23:25:24.392+00","2021-02-25 00:21:20.372+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452834","2021-02-25 00:36:41.209+00","2021-02-25 01:39:03.171+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452835","2021-02-25 01:39:50.769+00","2021-02-25 02:00:19.831+00", "","hygiene_long","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452836","2021-02-25 02:00:30.063+00","2021-02-25 12:26:46.064+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452837","2021-02-25 12:33:01.22+00","2021-02-25 12:56:55.677+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452838","2021-02-25 13:07:03.293+00","2021-02-25 14:40:32.288+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452839","2021-02-25 14:47:09.394+00","2021-02-25 17:31:09.352+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452840","2021-02-25 17:50:02.236+00","2021-02-25 19:53:50.364+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452841","2021-02-25 19:46:53.431+00","2021-02-25 20:52:26.204+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452842","2021-02-25 20:55:23.393+00","2021-02-25 20:57:42.999+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452843","2021-02-25 21:11:07.757+00","2021-02-25 21:58:28.448+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452844","2021-02-25 22:19:03.402+00","2021-02-25 22:25:17.679+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452845","2021-02-25 22:25:18.679+00","2021-02-26 00:30:40.995+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452846","2021-02-26 00:32:17.219+00","2021-02-26 00:34:33.618+00", "","hygiene_short","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452847","2021-02-26 00:45:44.543+00","2021-02-26 09:52:22.096+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452848","2021-02-26 09:53:44.737+00","2021-02-26 11:05:11.954+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452849","2021-02-26 11:07:39.44+00","2021-02-26 11:30:39.687+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452850","2021-02-26 11:38:35.394+00","2021-02-26 11:47:53.646+00", "","meal","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452851","2021-02-26 11:47:54.646+00","2021-02-26 12:35:19.874+00", "","inactivity","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452852","2021-02-26 12:35:19.874+00","2021-02-26 13:16:02.266+00", "","rest","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452853","2021-02-26 13:37:03.595+00","2021-02-26 14:20:50.284+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
"10452854","2021-02-26 14:20:50.284+00","2021-02-26 14:36:17.429+00", "exterior","outing","openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088"
